Versao,Ano_Fabricacao,Ano_Modelo,Quilometragem,Cambio,Preco_Real,Percentual_FIPE
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2025,2025,136,Automático,152990.0,106.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2026,2026,0,Automático,209010.0,111.0
1.8 GLI 16V FLEX 4P AUTOMÁTICO,2017,2017,104500,Automático,83000.0,102.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024,62000,Automático,142000.0,100.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,51000,Automático,143000.0,100.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,62000,Automático,134990.0,106.0
2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2022,2023,42900,Automático,139990.0,98.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2014,2015,116000,Automático,85900.0,105.0
2.0 VVT-IE FLEX GR-S DIRECT SHIFT,2022,2023,37000,Automático,145900.0,105.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2023,2024,16886,Automático,173900.0,105.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2022,2023,45933,Automático,155990.0,108.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022,29000,Automático,169890.0,138.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2017,2018,122985,Automático,98900.0,99.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2020,2020,100214,Automático,121900.0,105.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022,35000,Automático,149890.0,122.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,28650,Automático,135790.0,106.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,83885,Automático,133390.0,94.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2022,2023,64295,Automático,119900.0,101.0
