ID_Anuncio,Marca,Modelo,Versao,Ano_Fabricacao,Ano_Modelo,Quilometragem,Cambio,Carroceria,Preco_Real,Percentual_FIPE,Estado
69503825,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2025,2025.0,136.0,Automática,Sedã,152990.0,106.0,São Paulo (SP)
69239339,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2026,2026.0,0.0,Automática,Sedã,209010.0,111.0,São Paulo (SP)
68988167,TOYOTA,COROLLA,1.8 GLI 16V FLEX 4P AUTOMÁTICO,2017,2017.0,104500.0,Automática,Sedã,83000.0,102.0,São Paulo (SP)
68669795,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024.0,62000.0,CVT,Sedã,142000.0,100.0,São Paulo (SP)
68373757,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024.0,51000.0,CVT,Sedã,143000.0,100.0,São Paulo (SP)
68484549,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,62000.0,CVT,Sedã,134990.0,106.0,São Paulo (SP)
69357217,TOYOTA,COROLLA,2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2022,2023.0,42900.0,Automática,Sedã,139990.0,98.0,São Paulo (SP)
69030014,TOYOTA,COROLLA,2.0 XEI 16V FLEX 4P AUTOMÁTICO,2014,2015.0,116000.0,Automática,Sedã,85900.0,105.0,São Paulo (SP)
66804064,TOYOTA,COROLLA,2.0 VVT-IE FLEX GR-S DIRECT SHIFT,2022,2023.0,37000.0,Automática,Sedã,145900.0,105.0,São Paulo (SP)
69248596,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2023,2024.0,16886.0,CVT,Sedã,173900.0,105.0,São Paulo (SP)
69385549,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2022,2023.0,45933.0,CVT,Sedã,155990.0,108.0,São Paulo (SP)
68407441,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022.0,29000.0,CVT,Sedã,169890.0,138.0,São Paulo (SP)
69449992,TOYOTA,COROLLA,2.0 XEI 16V FLEX 4P AUTOMÁTICO,2017,2018.0,122985.0,Automática,Sedã,98900.0,99.0,São Paulo (SP)
68883247,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2020,2020.0,100214.0,Automática,Sedã,121900.0,105.0,São Paulo (SP)
69366288,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022.0,35000.0,CVT,Sedã,149890.0,122.0,São Paulo (SP)
68098859,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,28650.0,CVT,Sedã,135790.0,106.0,São Paulo (SP)
69526278,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024.0,83885.0,Automática,Sedã,133390.0,94.0,São Paulo (SP)
69265785,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2022,2023.0,64295.0,Automática,Sedã,119900.0,101.0,São Paulo (SP)
69441102,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024.0,47200.0,Automática,Sedã,145900.0,102.0,São Paulo (SP)
69239046,TOYOTA,COROLLA,2.0 VVT-IE FLEX GR-S DIRECT SHIFT,2026,2026.0,0.0,Automática,Sedã,203790.0,112.0,São Paulo (SP)
69237813,TOYOTA,COROLLA,2.0 VVT-IE FLEX ALTIS PREMIUM DIRECT SHIFT,2026,2026.0,0.0,Automática,Sedã,203790.0,108.0,São Paulo (SP)
69239208,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2026,2026.0,0.0,Automática,Sedã,209010.0,111.0,São Paulo (SP)
69507346,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,46267.0,Automática,Sedã,164900.0,129.0,São Paulo (SP)
66019435,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022.0,73000.0,Automática,Sedã,123990.0,101.0,São Paulo (SP)
65715602,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2019,2020.0,74000.0,CVT,Sedã,106900.0,99.0,São Paulo (SP)
