Pagina,Nome,Versao,Ano,Quilometragem,Cidade,Preco,Preco_Limpo,KM_Limpo,Ano_Modelo
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2026/2026,0 Km,São Paulo (SP),R$ 209.010,209010,0,2026
1,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2023,54.410 Km,Mauá (SP),R$ 136.990,136990,54410,2023
1,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,64.393 Km,Mauá (SP),R$ 135.190,135190,64393,2023
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2026/2026,0 Km,São Paulo (SP),R$ 206.120,206120,0,2026
1,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2024/2024,14.358 Km,Bauru (SP),R$ 133.600,133600,14358,2024
1,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2015/2016,62.428 Km,São Paulo (SP),R$ 89.990,89990,62428,2016
1,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,39.909 Km,Suzano (SP),R$ 136.790,136790,39909,2023
1,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,575 Km,São Paulo (SP),R$ 132.590,132590,575,2023
1,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2013/2014,38.000 Km,São Paulo (SP),R$ 84.900,84900,38000,2014
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis cvt,2022/2023,69.613 Km,Jundiaí (SP),R$ 149.900,149900,69613,2023
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2025/2025,9.000 Km,Vinhedo (SP),R$ 188.900,188900,9000,2025
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2022/2023,47.858 Km,Jundiaí (SP),R$ 149.890,149890,47858,2023
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis cvt,2022/2023,8.402 Km,São Paulo (SP),R$ 165.590,165590,8402,2023
1,TOYOTA COROLLA,2.0 altis 16v flex 4p automático,2014/2015,133.000 Km,Barueri (SP),R$ 90.990,90990,133000,2015
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2021/2022,61.293 Km,Barueri (SP),R$ 138.900,138900,61293,2022
1,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct s...,2023/2023,27.000 Km,São Paulo (SP),R$ 194.890,194890,27000,2023
1,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2025/2025,14.000 Km,São Paulo (SP),R$ 229.890,229890,14000,2025
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2020/2021,78.000 Km,São Paulo (SP),R$ 139.890,139890,78000,2021
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2022/2023,34.000 Km,São Paulo (SP),R$ 194.890,194890,34000,2023
1,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,44.659 Km,São Paulo (SP),R$ 156.890,156890,44659,2022
1,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,88.996 Km,São Paulo (SP),R$ 129.900,129900,88996,2023
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2022/2023,66.000 Km,São Paulo (SP),R$ 195.890,195890,66000,2023
1,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2020/2021,77.000 Km,São Paulo (SP),R$ 139.890,139890,77000,2021
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2022/2023,75.115 Km,São Paulo (SP),R$ 149.990,149990,75115,2023
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2022/2023,47.858 Km,Jundiaí (SP),R$ 149.890,149890,47858,2023
1,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2019/2020,53.491 Km,São Paulo (SP),R$ 149.890,149890,53491,2020
1,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2025/2025,14.319 Km,São Paulo (SP),R$ 148.900,148900,14319,2025
1,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2025/2025,10.000 Km,São Paulo (SP),R$ 149.990,149990,10000,2025
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2019/2020,77.000 Km,São Paulo (SP),R$ 149.990,149990,77000,2020
1,TOYOTA COROLLA,2.0 altis 16v flex 4p automático,2017/2018,129.000 Km,Sorocaba (SP),R$ 103.990,103990,129000,2018
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2023/2023,49.000 Km,São Paulo (SP),R$ 199.900,199900,49000,2023
1,TOYOTA COROLLA,2.0 vvt-ie flex altis premium...,2025/2025,20.000 Km,São Paulo (SP),R$ 185.890,185890,20000,2025
1,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct shift,2023/2023,27.000 Km,São Paulo (SP),R$ 194.890,194890,27000,2023
